Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
03 Asturias, Principado de;Índice general;Variación anual;2022M02;7,5
03 Asturias, Principado de;Índice general;Variación anual;2022M01;5,9
03 Asturias, Principado de;Índice general;Variación anual;2021M12;6,2
03 Asturias, Principado de;Índice general;Variación anual;2021M11;5,2
03 Asturias, Principado de;Índice general;Variación anual;2021M10;5,3
03 Asturias, Principado de;Índice general;Variación anual;2021M09;3,9
03 Asturias, Principado de;Índice general;Variación anual;2021M08;3,2
03 Asturias, Principado de;Índice general;Variación anual;2021M07;2,7
03 Asturias, Principado de;Índice general;Variación anual;2021M06;2,9
03 Asturias, Principado de;Índice general;Variación anual;2021M05;2,7
03 Asturias, Principado de;Índice general;Variación anual;2021M04;2,5
03 Asturias, Principado de;Índice general;Variación anual;2021M03;1,5
03 Asturias, Principado de;Índice general;Variación anual;2021M02;-0,1
03 Asturias, Principado de;Índice general;Variación anual;2021M01;0,4
03 Asturias, Principado de;Índice general;Variación anual;2020M12;-0,6
03 Asturias, Principado de;Índice general;Variación anual;2020M11;-0,8
03 Asturias, Principado de;Índice general;Variación anual;2020M10;-0,8
03 Asturias, Principado de;Índice general;Variación anual;2020M09;-0,3
03 Asturias, Principado de;Índice general;Variación anual;2020M08;-0,6
03 Asturias, Principado de;Índice general;Variación anual;2020M07;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2020M06;-0,8
03 Asturias, Principado de;Índice general;Variación anual;2020M05;-1,3
03 Asturias, Principado de;Índice general;Variación anual;2020M04;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2020M03;-0,3
03 Asturias, Principado de;Índice general;Variación anual;2020M02;0,4
03 Asturias, Principado de;Índice general;Variación anual;2020M01;0,9
03 Asturias, Principado de;Índice general;Variación anual;2019M12;0,4
03 Asturias, Principado de;Índice general;Variación anual;2019M11;0,0
03 Asturias, Principado de;Índice general;Variación anual;2019M10;-0,2
03 Asturias, Principado de;Índice general;Variación anual;2019M09;-0,4
03 Asturias, Principado de;Índice general;Variación anual;2019M08;-0,1
03 Asturias, Principado de;Índice general;Variación anual;2019M07;0,3
03 Asturias, Principado de;Índice general;Variación anual;2019M06;0,3
03 Asturias, Principado de;Índice general;Variación anual;2019M05;0,7
03 Asturias, Principado de;Índice general;Variación anual;2019M04;1,4
03 Asturias, Principado de;Índice general;Variación anual;2019M03;1,3
03 Asturias, Principado de;Índice general;Variación anual;2019M02;1,1
03 Asturias, Principado de;Índice general;Variación anual;2019M01;0,9
03 Asturias, Principado de;Índice general;Variación anual;2018M12;1,1
03 Asturias, Principado de;Índice general;Variación anual;2018M11;1,6
03 Asturias, Principado de;Índice general;Variación anual;2018M10;2,1
03 Asturias, Principado de;Índice general;Variación anual;2018M09;2,1
03 Asturias, Principado de;Índice general;Variación anual;2018M08;2,2
03 Asturias, Principado de;Índice general;Variación anual;2018M07;2,4
03 Asturias, Principado de;Índice general;Variación anual;2018M06;2,2
03 Asturias, Principado de;Índice general;Variación anual;2018M05;2,0
03 Asturias, Principado de;Índice general;Variación anual;2018M04;0,7
03 Asturias, Principado de;Índice general;Variación anual;2018M03;0,9
03 Asturias, Principado de;Índice general;Variación anual;2018M02;0,7
03 Asturias, Principado de;Índice general;Variación anual;2018M01;0,3
03 Asturias, Principado de;Índice general;Variación anual;2017M12;0,9
03 Asturias, Principado de;Índice general;Variación anual;2017M11;1,4
03 Asturias, Principado de;Índice general;Variación anual;2017M10;1,2
03 Asturias, Principado de;Índice general;Variación anual;2017M09;1,5
03 Asturias, Principado de;Índice general;Variación anual;2017M08;1,5
03 Asturias, Principado de;Índice general;Variación anual;2017M07;1,3
03 Asturias, Principado de;Índice general;Variación anual;2017M06;1,1
03 Asturias, Principado de;Índice general;Variación anual;2017M05;1,6
03 Asturias, Principado de;Índice general;Variación anual;2017M04;2,6
03 Asturias, Principado de;Índice general;Variación anual;2017M03;2,3
03 Asturias, Principado de;Índice general;Variación anual;2017M02;3,1
03 Asturias, Principado de;Índice general;Variación anual;2017M01;3,0
03 Asturias, Principado de;Índice general;Variación anual;2016M12;1,6
03 Asturias, Principado de;Índice general;Variación anual;2016M11;0,8
03 Asturias, Principado de;Índice general;Variación anual;2016M10;1,0
03 Asturias, Principado de;Índice general;Variación anual;2016M09;0,4
03 Asturias, Principado de;Índice general;Variación anual;2016M08;0,1
03 Asturias, Principado de;Índice general;Variación anual;2016M07;-0,5
03 Asturias, Principado de;Índice general;Variación anual;2016M06;-0,6
03 Asturias, Principado de;Índice general;Variación anual;2016M05;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2016M04;-1,1
03 Asturias, Principado de;Índice general;Variación anual;2016M03;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2016M02;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2016M01;-0,3
03 Asturias, Principado de;Índice general;Variación anual;2015M12;-0,2
03 Asturias, Principado de;Índice general;Variación anual;2015M11;-0,4
03 Asturias, Principado de;Índice general;Variación anual;2015M10;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2015M09;-0,9
03 Asturias, Principado de;Índice general;Variación anual;2015M08;-0,5
03 Asturias, Principado de;Índice general;Variación anual;2015M07;0,0
03 Asturias, Principado de;Índice general;Variación anual;2015M06;-0,1
03 Asturias, Principado de;Índice general;Variación anual;2015M05;-0,4
03 Asturias, Principado de;Índice general;Variación anual;2015M04;-0,8
03 Asturias, Principado de;Índice general;Variación anual;2015M03;-0,8
03 Asturias, Principado de;Índice general;Variación anual;2015M02;-1,2
03 Asturias, Principado de;Índice general;Variación anual;2015M01;-1,5
03 Asturias, Principado de;Índice general;Variación anual;2014M12;-1,1
03 Asturias, Principado de;Índice general;Variación anual;2014M11;-0,6
03 Asturias, Principado de;Índice general;Variación anual;2014M10;-0,2
03 Asturias, Principado de;Índice general;Variación anual;2014M09;-0,4
03 Asturias, Principado de;Índice general;Variación anual;2014M08;-0,7
03 Asturias, Principado de;Índice general;Variación anual;2014M07;-0,5
03 Asturias, Principado de;Índice general;Variación anual;2014M06;-0,1
03 Asturias, Principado de;Índice general;Variación anual;2014M05;0,1
03 Asturias, Principado de;Índice general;Variación anual;2014M04;0,2
03 Asturias, Principado de;Índice general;Variación anual;2014M03;-0,3
03 Asturias, Principado de;Índice general;Variación anual;2014M02;-0,2
03 Asturias, Principado de;Índice general;Variación anual;2014M01;0,0
03 Asturias, Principado de;Índice general;Variación anual;2013M12;0,2
03 Asturias, Principado de;Índice general;Variación anual;2013M11;0,3
03 Asturias, Principado de;Índice general;Variación anual;2013M10;-0,1
03 Asturias, Principado de;Índice general;Variación anual;2013M09;0,5
03 Asturias, Principado de;Índice general;Variación anual;2013M08;1,6
03 Asturias, Principado de;Índice general;Variación anual;2013M07;1,8
03 Asturias, Principado de;Índice general;Variación anual;2013M06;1,9
03 Asturias, Principado de;Índice general;Variación anual;2013M05;1,6
03 Asturias, Principado de;Índice general;Variación anual;2013M04;1,3
03 Asturias, Principado de;Índice general;Variación anual;2013M03;2,3
03 Asturias, Principado de;Índice general;Variación anual;2013M02;2,6
03 Asturias, Principado de;Índice general;Variación anual;2013M01;2,6
03 Asturias, Principado de;Índice general;Variación anual;2012M12;2,6
03 Asturias, Principado de;Índice general;Variación anual;2012M11;2,7
03 Asturias, Principado de;Índice general;Variación anual;2012M10;3,2
03 Asturias, Principado de;Índice general;Variación anual;2012M09;3,1
03 Asturias, Principado de;Índice general;Variación anual;2012M08;2,4
03 Asturias, Principado de;Índice general;Variación anual;2012M07;1,9
03 Asturias, Principado de;Índice general;Variación anual;2012M06;1,8
